fips,Geographic.Area.Name,Total,Total.Urban,Total.Urban.Inside.urbanized.areas,Total.Urban.Inside.urban.clusters,Total.Rural,Total.undefined
4003,"Cochise County, Arizona",131346,83666,52745,30921,47680,0
4005,"Coconino County, Arizona",134421,92124,71957,20167,42297,0
4007,"Gila County, Arizona",53597,31589,0,31589,22008,0
4009,"Graham County, Arizona",37220,19936,0,19936,17284,0
4011,"Greenlee County, Arizona",8437,4508,0,4508,3929,0
4012,"La Paz County, Arizona",20489,8948,0,8948,11541,0
4013,"Maricopa County, Arizona",3817117,3726888,3686117,40771,90229,0
4015,"Mohave County, Arizona",200186,154216,53427,100789,45970,0
4017,"Navajo County, Arizona",107449,49278,0,49278,58171,0
4019,"Pima County, Arizona",980263,906513,834443,72070,73750,0
4021,"Pinal County, Arizona",375770,293459,200094,93365,82311,0
4023,"Santa Cruz County, Arizona",47420,34672,0,34672,12748,0
4025,"Yavapai County, Arizona",211033,140976,84744,56232,70057,0
4027,"Yuma County, Arizona",195751,175335,134256,41079,20416,0
5001,"Arkansas County, Arkansas",19019,12418,0,12418,6601,0
5003,"Ashley County, Arkansas",21853,10559,0,10559,11294,0
5005,"Baxter County, Arkansas",41513,14180,0,14180,27333,0
5007,"Benton County, Arkansas",221339,165650,147000,18650,55689,0
5009,"Boone County, Arkansas",36903,13950,0,13950,22953,0
5011,"Bradley County, Arkansas",11508,5801,0,5801,5707,0
5013,"Calhoun County, Arkansas",5368,0,0,0,5368,0
5015,"Carroll County, Arkansas",27446,7456,0,7456,19990,0
5017,"Chicot County, Arkansas",11800,5395,0,5395,6405,0
5019,"Clark County, Arkansas",22995,10491,0,10491,12504,0
5021,"Clay County, Arkansas",16083,6617,0,6617,9466,0
5023,"Cleburne County, Arkansas",25970,6357,0,6357,19613,0
5025,"Cleveland County, Arkansas",8689,0,0,0,8689,0
5027,"Columbia County, Arkansas",24552,10438,0,10438,14114,0
5029,"Conway County, Arkansas",21273,6272,0,6272,15001,0
5031,"Craighead County, Arkansas",96443,65419,65419,0,31024,0
5033,"Crawford County, Arkansas",61948,29759,29759,0,32189,0
5035,"Crittenden County, Arkansas",50902,40270,40270,0,10632,0
5037,"Cross County, Arkansas",17870,7722,0,7722,10148,0
5039,"Dallas County, Arkansas",8116,3844,0,3844,4272,0
5041,"Desha County, Arkansas",13008,8921,0,8921,4087,0
5043,"Drew County, Arkansas",18509,9512,0,9512,8997,0
5045,"Faulkner County, Arkansas",113237,69346,65277,4069,43891,0
5047,"Franklin County, Arkansas",18125,3153,0,3153,14972,0
5049,"Fulton County, Arkansas",12245,867,0,867,11378,0
5051,"Garland County, Arkansas",96024,60588,55103,5485,35436,0
5053,"Grant County, Arkansas",17853,4458,0,4458,13395,0
5055,"Greene County, Arkansas",42090,24620,0,24620,17470,0
5057,"Hempstead County, Arkansas",22609,10000,0,10000,12609,0
5059,"Hot Spring County, Arkansas",32923,11204,18,11186,21719,0
5061,"Howard County, Arkansas",13789,4479,0,4479,9310,0
5063,"Independence County, Arkansas",36647,11513,0,11513,25134,0
5065,"Izard County, Arkansas",13696,0,0,0,13696,0
5067,"Jackson County, Arkansas",17997,6288,0,6288,11709,0
5069,"Jefferson County, Arkansas",77435,53495,53495,0,23940,0
5071,"Johnson County, Arkansas",25540,7313,0,7313,18227,0
5073,"Lafayette County, Arkansas",7645,0,0,0,7645,0
5075,"Lawrence County, Arkansas",17415,6346,0,6346,11069,0
5077,"Lee County, Arkansas",10424,3804,0,3804,6620,0
5079,"Lincoln County, Arkansas",14134,0,0,0,14134,0
5081,"Little River County, Arkansas",13171,4146,0,4146,9025,0
5083,"Logan County, Arkansas",22353,6478,0,6478,15875,0
5085,"Lonoke County, Arkansas",68356,37724,30904,6820,30632,0
5087,"Madison County, Arkansas",15717,0,0,0,15717,0
5089,"Marion County, Arkansas",16653,0,0,0,16653,0
5091,"Miller County, Arkansas",43462,26072,26072,0,17390,0
5093,"Mississippi County, Arkansas",46480,29623,0,29623,16857,0
5095,"Monroe County, Arkansas",8149,2528,0,2528,5621,0
5097,"Montgomery County, Arkansas",9487,0,0,0,9487,0
5099,"Nevada County, Arkansas",8997,2773,0,2773,6224,0
5101,"Newton County, Arkansas",8330,0,0,0,8330,0
5103,"Ouachita County, Arkansas",26120,11401,0,11401,14719,0
5105,"Perry County, Arkansas",10445,0,0,0,10445,0
5107,"Phillips County, Arkansas",21757,11321,0,11321,10436,0
5109,"Pike County, Arkansas",11291,0,0,0,11291,0
5111,"Poinsett County, Arkansas",24583,7095,0,7095,17488,0
5113,"Polk County, Arkansas",20662,5499,0,5499,15163,0
5115,"Pope County, Arkansas",61754,28102,0,28102,33652,0
5117,"Prairie County, Arkansas",8715,0,0,0,8715,0
5119,"Pulaski County, Arkansas",382748,335759,335759,0,46989,0
5121,"Randolph County, Arkansas",17969,5854,0,5854,12115,0
5123,"St. Francis County, Arkansas",28258,13690,0,13690,14568,0
5125,"Saline County, Arkansas",107118,68384,64725,3659,38734,0
5127,"Scott County, Arkansas",11233,3330,0,3330,7903,0
5129,"Searcy County, Arkansas",8195,0,0,0,8195,0
5131,"Sebastian County, Arkansas",125744,99574,90955,8619,26170,0
5133,"Sevier County, Arkansas",17058,6209,0,6209,10849,0
5135,"Sharp County, Arkansas",17264,3443,0,3443,13821,0
5137,"Stone County, Arkansas",12394,0,0,0,12394,0
5139,"Union County, Arkansas",41639,18944,0,18944,22695,0
5141,"Van Buren County, Arkansas",17295,0,0,0,17295,0
5143,"Washington County, Arkansas",203065,151294,148081,3213,51771,0
5145,"White County, Arkansas",77076,35210,0,35210,41866,0
5147,"Woodruff County, Arkansas",7260,0,0,0,7260,0
5149,"Yell County, Arkansas",22185,4631,0,4631,17554,0
6001,"Alameda County, California",1510271,1504402,1504402,0,5869,0
6003,"Alpine County, California",1175,0,0,0,1175,0
6005,"Amador County, California",38091,15075,0,15075,23016,0
6007,"Butte County, California",220000,178416,98176,80240,41584,0
6009,"Calaveras County, California",45578,11208,0,11208,34370,0
6011,"Colusa County, California",21419,14624,0,14624,6795,0
6013,"Contra Costa County, California",1049025,1040709,1026665,14044,8316,0
6015,"Del Norte County, California",28610,18976,0,18976,9634,0
6017,"El Dorado County, California",181058,118231,61422,56809,62827,0
6019,"Fresno County, California",930450,829913,654628,175285,100537,0
6021,"Glenn County, California",28122,16628,0,16628,11494,0
6023,"Humboldt County, California",134623,94561,0,94561,40062,0
6025,"Imperial County, California",174528,144129,108683,35446,30399,0
6027,"Inyo County, California",18546,9935,0,9935,8611,0
6029,"Kern County, California",839631,753938,578366,175572,85693,0
6031,"Kings County, California",152982,136381,87941,48440,16601,0
6033,"Lake County, California",64665,43257,0,43257,21408,0
6035,"Lassen County, California",34895,10285,0,10285,24610,0
6037,"Los Angeles County, California",9818605,9759181,9743650,15531,59424,0
6039,"Madera County, California",150865,101193,78413,22780,49672,0
6041,"Marin County, California",252409,235952,235952,0,16457,0
6043,"Mariposa County, California",18251,0,0,0,18251,0
6045,"Mendocino County, California",87841,48110,0,48110,39731,0
6047,"Merced County, California",255793,219283,161757,57526,36510,0
6049,"Modoc County, California",9686,2910,0,2910,6776,0
6051,"Mono County, California",14202,7693,0,7693,6509,0
6053,"Monterey County, California",415057,374315,306096,68219,40742,0
6055,"Napa County, California",136484,118194,103379,14815,18290,0
6057,"Nevada County, California",98764,57150,0,57150,41614,0
6059,"Orange County, California",3010232,3005917,3005917,0,4315,0
6061,"Placer County, California",348432,300393,254704,45689,48039,0
6063,"Plumas County, California",20007,5197,0,5197,14810,0
6065,"Riverside County, California",2189641,2088429,2022683,65746,101212,0
