fips,med.surg.beds,ped.med.surg.bed,icu.beds,nicu.beds,ped.icu.beds,calc.tot.beds,lisc.beds,tot.staffed.facility.beds,tot.staffed.hosp.beds,facility.inpatient.days,hosp.inpatiend.days
23019,334,17,31,29,6,632,648,632,0,171879,0
23005,527,61,50,30,8,1046,1155,1046,516,292638,158520
23011,152,4,18,0,0,427,479,427,44,127098,13687
23009,19,0,3,0,0,100,25,100,0,11762,0
23027,17,0,4,0,0,25,25,25,0,5876,0
23029,41,2,0,0,0,50,50,50,0,10700,0
23003,78,10,18,0,0,275,345,275,132,70430,25306
23021,43,0,0,0,0,75,50,75,0,10533,0
23007,32,6,5,0,0,48,65,48,0,6753,0
23015,25,0,0,0,0,91,91,91,25,26416,6959
23001,88,12,19,0,0,540,250,540,0,145278,0
23031,120,9,14,0,0,254,287,254,84,66212,29260
23017,38,0,0,0,0,50,50,50,0,7912,0
23025,41,0,6,0,0,50,50,50,0,9176,0
23013,53,5,6,0,0,151,178,151,81,42081,17242
33015,64,3,10,0,0,541,100,541,0,129744,0
33013,196,8,20,0,0,519,365,519,0,134940,0
33007,43,0,5,0,0,62,50,62,0,9211,0
33019,25,0,0,0,0,25,25,25,0,3403,0
33017,138,6,17,0,0,238,290,238,0,46479,0
33009,247,13,46,30,5,506,471,506,0,135689,0
33005,39,3,10,0,0,94,169,94,0,21637,0
33001,66,0,6,0,0,90,137,90,0,22896,0
33011,371,33,98,37,0,882,1047,882,0,215495,0
33003,39,0,5,0,0,95,95,95,25,22852,4192
50007,273,20,21,20,4,500,620,500,0,122184,0
50023,47,0,14,0,0,270,300,270,92,70088,18117
50003,0,0,0,0,0,77,0,77,0,17414,0
50025,48,0,5,0,0,199,229,199,0,48529,0
50001,0,0,0,0,0,25,0,25,0,4615,0
50015,21,0,0,0,0,25,43,25,0,4647,0
50019,14,2,5,0,0,25,49,25,0,5755,0
50017,0,0,0,0,0,52,0,52,0,14505,0
50021,79,0,13,0,0,126,144,126,0,30439,0
50011,0,0,0,0,0,55,0,55,0,8956,0
50005,0,0,0,0,0,25,0,25,0,4833,0
50027,43,0,7,0,0,146,78,146,0,30272,0
25009,415,23,59,0,0,1514,748,1514,0,390242,0
25013,808,66,61,33,7,1745,1525,1745,0,434634,0
25017,1279,51,172,10,0,3535,4053,3535,0,979687,0
25023,131,8,8,0,0,1416,216,1416,0,404246,0
25027,854,66,117,27,10,1899,1553,1899,0,499685,0
25025,2265,371,268,142,111,6154,5155,6154,50,1828743,6591
25005,483,15,42,0,0,1259,1069,1259,0,347582,0
25001,268,9,21,0,0,438,414,438,0,115759,0
25021,328,17,23,10,0,1501,720,1501,0,397994,0
25003,172,9,15,0,0,369,412,369,0,91092,0
25011,44,3,6,0,0,89,89,89,0,18795,0
25019,12,2,1,0,0,19,19,19,0,2189,0
25015,34,0,6,0,0,173,140,173,0,65214,0
25007,17,1,3,0,0,86,25,86,25,26398,5280
44007,576,68,42,0,16,2167,1036,2167,0,606103,0
44005,57,0,10,0,0,104,129,104,0,24731,0
44009,134,4,17,0,0,166,225,166,0,29652,0
44003,204,0,15,0,0,320,359,320,0,55769,0
9009,1081,84,124,92,19,2501,2341,2501,0,734325,0
9001,992,25,81,50,0,1821,2189,1821,0,503345,0
9003,996,95,88,94,18,2606,2528,2606,808,748514,230017
9007,157,2,24,0,0,644,890,644,0,261096,0
