fips,med.surg.beds,ped.med.surg.bed,icu.beds,nicu.beds,ped.icu.beds,calc.tot.beds,lisc.beds,tot.staffed.facility.beds,tot.staffed.hosp.beds,facility.inpatient.days,hosp.inpatiend.days
54057,21,0,4,0,0,25,25,25,0,2718,0
54077,23,0,2,0,0,25,25,25,0,2914,0
54045,86,13,12,0,0,129,140,129,0,23441,0
54005,15,0,0,0,0,25,25,25,0,3887,0
54075,24,0,0,0,0,24,24,24,0,1246,0
54003,151,8,26,4,0,752,756,752,424,190897,107757
54019,47,0,3,0,0,94,94,94,25,19904,3008
54103,0,0,0,0,0,44,0,44,0,2298,0
54107,120,12,18,0,0,279,352,279,0,67513,0
54023,18,0,3,0,0,45,45,45,25,11011,6486
54001,12,0,0,0,0,72,72,72,12,20743,2005
54053,53,6,3,0,0,168,201,168,68,40386,5273
54037,16,0,5,0,0,25,25,25,0,3892,0
54035,25,0,0,0,0,25,25,25,0,2926,0
54027,14,0,0,0,0,44,44,44,14,13192,2237
54025,0,0,0,0,0,113,0,113,0,11837,0
54087,25,0,0,0,0,60,60,60,25,12778,619
54101,15,0,0,0,0,15,25,15,0,489,0
54029,90,10,7,0,0,167,218,167,134,32794,24133
54067,0,0,0,0,0,153,0,153,0,29560,0
54047,40,2,7,0,0,108,124,108,49,15023,2114
54041,56,0,6,0,0,220,270,220,0,43356,0
54059,11,4,6,0,0,25,76,25,0,1291,0
54095,0,0,0,0,0,12,0,12,0,764,0
37183,863,33,75,30,10,2256,1793,2256,439,609279,114451
37081,128,6,20,0,0,1363,351,1363,0,330381,0
37091,33,1,7,0,0,71,114,71,0,20921,0
37167,70,0,0,0,0,109,109,109,0,15493,0
37001,114,6,20,0,0,197,238,197,0,39799,0
37035,264,14,24,26,0,521,613,521,0,108920,0
37119,680,96,83,62,20,2605,1866,2605,0,751373,0
37021,541,19,53,41,9,1127,1020,1127,97,309839,28411
37011,21,0,0,0,0,31,35,31,0,5072,0
37129,292,17,31,23,6,757,769,757,0,223646,0
37127,145,0,16,0,0,292,395,292,0,75009,0
37055,0,0,0,0,0,21,0,21,0,2277,0
37063,629,75,119,45,48,1483,1615,1483,185,465534,51890
37051,347,14,62,21,7,900,700,900,0,244586,0
37151,29,6,10,0,0,85,145,85,0,14813,0
37077,46,0,6,0,0,540,540,540,62,165794,7463
37189,70,0,10,0,0,99,117,99,0,14123,0
37175,0,0,0,0,0,40,0,40,0,7709,0
37173,0,0,0,0,0,40,0,40,0,5829,0
37141,16,0,0,0,0,59,86,59,16,14502,3138
37133,83,8,12,4,0,365,162,365,0,90686,0
37135,396,72,64,58,20,949,933,949,0,282663,0
37163,19,4,8,0,0,83,146,83,0,10078,0
37025,265,28,35,10,5,455,457,455,0,111419,0
37169,0,0,0,0,0,65,0,65,0,13815,0
37085,83,3,10,0,0,105,151,105,0,17842,0
37023,98,0,16,4,0,453,315,453,0,110669,0
37041,13,0,4,0,0,19,49,19,0,5454,0
37093,25,0,4,0,0,29,41,29,0,2991,0
37139,88,0,10,0,0,109,182,109,0,19778,0
37017,0,0,0,0,0,25,0,25,0,3165,0
37171,105,0,18,0,0,189,214,189,75,37456,13342
37089,139,8,19,0,0,244,325,244,0,47882,0
37113,52,0,8,0,0,140,163,140,24,28915,2668
37071,208,6,47,8,0,417,435,417,0,105073,0
37191,186,14,16,0,0,517,559,517,0,131388,0
37147,434,39,76,26,12,1054,974,1054,0,278342,0
37181,0,0,0,0,0,102,0,102,0,21992,0
37009,18,0,0,0,0,25,76,25,0,4560,0
37061,18,0,5,0,0,47,81,47,0,17632,0
37045,154,4,18,0,0,230,308,230,0,46344,0
37107,124,8,14,0,0,176,261,176,0,25005,0
37165,68,3,8,0,0,104,104,104,0,19716,0
37157,43,3,9,0,0,188,229,188,67,46145,9433
37027,60,0,12,0,0,82,110,82,0,18957,0
37057,42,6,16,0,0,162,94,162,0,34387,0
37109,39,0,48,0,0,101,101,101,0,19219,0
37155,146,15,19,3,0,373,452,373,258,103825,64862
37111,20,0,5,0,0,30,65,30,0,7847,0
37059,25,0,0,0,0,25,50,25,0,2861,0
37179,96,13,14,4,0,231,252,231,161,54498,34160
37097,116,10,8,0,0,452,247,452,151,77985,33473
37031,80,4,10,0,0,104,135,104,0,25705,0
37039,15,0,6,0,0,25,57,25,0,6140,0
37049,118,0,12,0,0,208,350,208,0,65653,0
37193,42,0,8,0,0,92,130,92,82,14435,11636
37125,212,5,24,13,0,362,402,362,0,99746,0
37187,0,0,0,0,0,25,0,25,0,2570,0
37083,0,0,0,0,0,142,0,142,0,27370,0
37145,32,0,6,0,0,77,98,77,17,20220,3213
37161,69,2,9,0,0,112,143,112,0,17220,0
37159,38,0,6,0,0,367,438,367,0,122259,0
37019,25,0,0,0,0,191,137,191,0,22409,0
37105,101,0,8,0,0,127,137,127,0,15546,0
37037,21,0,4,0,0,25,25,25,0,4418,0
37101,100,3,8,0,0,153,199,153,0,37245,0
37005,25,0,0,0,0,25,25,25,0,1174,0
37121,15,0,6,0,0,21,46,21,0,4349,0
37099,0,0,0,0,0,86,0,86,0,12787,0
37065,38,0,8,0,0,65,117,65,0,16453,0
37123,5,0,0,0,0,5,37,5,0,326,0
37149,19,0,6,0,0,35,35,35,0,6812,0
37007,15,0,0,0,0,15,15,15,0,768,0
37013,0,0,0,0,0,84,0,84,0,16232,0
37087,0,0,0,0,0,146,0,146,0,23957,0
37047,58,6,9,0,0,85,154,85,0,16962,0
37117,0,0,0,0,0,49,0,49,0,7469,0
37195,66,12,14,0,0,220,294,220,130,52950,26368
37015,6,0,0,0,0,6,6,6,0,1388,0
37067,465,71,45,30,12,1719,1049,1719,0,553395,0
45059,24,0,8,0,0,71,90,71,57,10758,7829
45079,601,78,98,54,14,2144,1868,2144,0,583088,0
45075,139,24,11,0,0,298,301,298,0,57898,0
45003,153,6,21,0,0,299,273,299,0,58854,0
45041,561,12,65,20,6,952,1105,952,0,218174,0
45001,19,0,6,0,0,25,25,25,0,3021,0
45067,88,0,12,0,0,209,216,209,117,37618,6347
45083,478,12,67,13,4,795,866,795,91,192610,10124
45051,468,26,90,0,8,1002,1042,1002,178,258518,34633
45091,187,12,24,0,0,329,288,329,0,86240,0
45007,215,22,19,0,0,567,793,567,0,158266,0
45019,939,104,142,16,25,2214,2128,2214,0,576153,0
